	original	normalized
683	regional advisors	regional advisors
684	book reviews	book reviews
685	media editor	media editor
686	feature editors	feature editor
687	genomics in focus editor	genomics in focus editor
688	imaging in focus editor	imaging in focus editor
689	medicine in focus – cancer editor	medicine in focus – cancer editor
690	medicine in focus – cardiovascular editor	medicine in focus – cardiovascular editor
691	medicine in focus –  respiratory editor	medicine in focus – respiratory editor
692	neuroscience in focus editor	neuroscience in focus editor
693	organelles in focus editor	organelles in focus editor
694	assistant editors-in-chief	assistant editor in chief
695	business news editor	business news editor
696	audio file editor	audio file editor
697	editorial executive committee	editorial executive committee
698	editorial consultants	editorial consultants
699	regional editor (asia-pacific)	regional editor (asia pacific)
700	regional editor (europe)	regional editor (europe)
701	guest editors	guest editor
702	section editor: tools and technology	section editor: tools and technology
703	young investigator associate editor	young investigator associate editor
704	honorary and founding editor	honorary and founding editor
705	ex officio editor	ex officio editor
706	editor-in-chief: contact the editor	editor in chief: contact the editor
707	editor-in-chief, emeritus	editor in chief, emeritus
708	note editor	note editor
709	honorary founding editor	honorary founding editor
710	joint editors-in-chief	joint editor in chief
711	assistant to the editor-in-chief	assistant to the editor in chief
712	founder and editor-in-chief emeritus	founder and editor in chief emeritus
713	honorary board members	honorary board member
714	academic board members	academic board member
715	junior board members	junior board member
716	former editor-in-chief	former editor in chief
717	column editor	column editor
718	associate editors in radiation physics	associate editor in radiation physics
719	associate editors in radiation chemistry	associate editor in radiation chemistry
720	associate editors in radiation processing	associate editor in radiation processing
721	editorial team	editorial team
722	trends editor	trends editor
723	editor - csp/thermal storage, solar energy materials & solar cells	editor csp/thermal storage, solar energy materials & solar cells
724	editor – space photovoltaics and emerging pv concepts	editor – space photovoltaics and emerging pv concepts
725	editor – iii-v multi-junction solar cells, cpv and economics of solar materials	editor – iii v multi junction solar cells, cpv and economics of solar materials
726	editor - non-silicon thin film solar cell, solar energy materials & solar cells	editor non silicon thin film solar cell, solar energy materials & solar cells
727	editor - optical and electrical properties, solar energy materials & solar cells	editor optical and electrical properties, solar energy materials & solar cells
728	editor - organic and polymer solar cell, solar energy materials & solar cells	editor organic and polymer solar cell, solar energy materials & solar cells
729	editor - thin film deposition, oxide materials & device, solar energy materials & solar cells	editor thin film deposition, oxide materials & device, solar energy materials & solar cells
730	'setting the agenda' editor	'setting the agenda' editor
731	past review and setting-the-agenda editors	past review and setting the agenda editor
732	deputy international editor	deputy international editor
733	deputy editor for basic science	deputy editor for basic science
734	editor emeritus - 1996-2008	editor emeritus 1996 2008
735	founding editor - 1991-1996	founding editor 1991 1996
736	basic science editors	basic science editor
